OBJECTID,LST_2015,LST_2020,NDVI_2015
291,28.72351985020,30.60510000000,0.41012000000
292,28.95823704050,30.87140000000,0.43254900000
293,28.12287621380,30.51460000000,0.49370900000
294,28.20651250160,31.22540000000,0.45503500000
295,27.17580062780,29.76370000000,0.51385400000
296,27.34181603690,30.28540000000,0.47431300000
297,27.39763107260,29.80800000000,0.50487500000
298,28.29138175930,29.98870000000,0.45855600000
299,28.43892786740,29.32280000000,0.43319700000
300,28.48107713520,26.69960000000,0.43910200000
301,27.18352510050,27.88440000000,0.53224400000
302,27.92529382780,29.52530000000,0.53156900000
303,27.25597313260,29.13180000000,0.58637300000
304,26.77490759510,28.52270000000,0.52189700000
305,27.97550368940,30.48700000000,0.43934900000
306,28.16672554950,30.46940000000,0.45872900000
307,28.14060068320,30.44640000000,0.50116600000
308,28.47565659110,30.57580000000,0.50669100000
309,25.04206613710,26.10910000000,0.69929400000
310,22.98696609470,23.47250000000,0.74379500000
311,27.07584484630,29.40920000000,0.54632600000
312,27.24820763110,29.28960000000,0.51412200000
313,24.96188942420,27.20040000000,0.64914500000
314,23.95702941700,26.16770000000,0.65348800000
315,26.39628113740,27.12520000000,0.45656300000
316,26.54215718940,26.53850000000,0.55028400000
317,28.74542032160,32.64610000000,0.37670600000
318,28.96214699780,33.32180000000,0.33509900000
319,29.48758040110,33.94130000000,0.32173300000
320,28.23053247610,31.60950000000,0.43085900000
321,28.34639147210,31.71310000000,0.46313500000
322,27.19877626580,29.60970000000,0.48881800000
323,29.30226108670,30.83540000000,0.36610600000
324,27.66339711890,28.47260000000,0.50255300000
325,28.15666526610,29.88740000000,0.44674800000
326,26.91131278840,29.60610000000,0.46738400000
327,27.30159059610,30.12190000000,0.45073500000
328,28.03047447740,30.66390000000,0.39965400000
329,29.33401491440,32.32170000000,0.30691000000
330,30.16651710470,33.38850000000,0.25109400000
331,29.96412434740,32.71940000000,0.31643700000
332,29.17028753670,31.46220000000,0.34914800000
333,28.03308296630,30.00890000000,0.41445400000
334,28.27892277780,30.33130000000,0.34786800000
335,29.43313194210,31.62730000000,0.38121200000
336,27.76567120670,29.81260000000,0.43043900000
337,28.49257678950,31.01920000000,0.39921700000
338,28.08774574560,30.26960000000,0.45442600000
339,26.89032494630,28.31530000000,0.53310400000
340,27.69917639260,28.69140000000,0.46861300000
341,27.16788693720,27.57010000000,0.47545600000
342,27.09416686420,28.18650000000,0.46171300000
343,27.88577663170,30.24570000000,0.35960500000
344,29.45787760740,28.99240000000,0.38669300000
345,24.95254580170,26.79360000000,0.56962100000
346,25.50301858890,27.96550000000,0.58972400000
347,28.05463103940,31.21900000000,0.54671800000
348,28.11655461260,31.33000000000,0.24068100000
349,27.62106164320,30.43060000000,0.51573100000
350,27.08029500000,29.92070000000,0.50632700000
351,27.79466100000,30.62990000000,0.45707100000
352,31.70487600000,34.86650000000,0.25093200000
353,26.42061700000,29.40630000000,0.49103400000
354,26.09486074500,27.46940000000,0.43630800000
355,26.58125398580,29.18970000000,0.53186900000
356,24.67915694890,27.24880000000,0.65661200000
357,22.38849278000,29.14750000000,0.74787000000
358,24.50592618740,29.06620000000,0.77427200000
359,28.49221173780,31.05570000000,0.32277300000
360,29.26277062950,31.23720000000,0.42917200000
361,31.29769604280,32.75790000000,0.11585400000
362,30.76183224890,32.44840000000,0.45329500000
363,31.61907513660,35.56510000000,0.24247000000
364,29.42301780110,32.28600000000,0.32381000000
365,29.88038233140,33.20520000000,0.30920400000
366,29.46511657190,32.17310000000,0.40544100000
367,27.72870928470,29.30080000000,0.48887900000
368,28.53010347200,30.55560000000,0.45097900000
